390	0.00377	0.000415	0.0185
395	0.00938	0.00106	0.0461
400	0.0221	0.00245	0.11
405	0.0474	0.00497	0.237
410	0.0895	0.00908	0.451
415	0.145	0.0143	0.738
420	0.204	0.0203	1.05
425	0.249	0.0261	1.31
430	0.292	0.0332	1.55
435	0.323	0.0416	1.75
440	0.348	0.0503	1.92
445	0.342	0.0574	1.92
450	0.322	0.0647	1.85
455	0.283	0.0724	1.66
460	0.249	0.0851	1.52
465	0.222	0.106	1.43
470	0.181	0.13	1.25
475	0.129	0.154	0.999
480	0.0818	0.179	0.755
485	0.046	0.206	0.562
490	0.0208	0.238	0.41
495	0.0071	0.285	0.311
500	0.00246	0.348	0.238
505	0.00365	0.428	0.172
510	0.0156	0.52	0.118
515	0.0432	0.621	0.0828
520	0.0796	0.718	0.0565
525	0.127	0.795	0.0375
530	0.182	0.858	0.0244
535	0.241	0.907	0.0157
540	0.31	0.954	0.00985
545	0.38	0.981	0.00613
550	0.449	0.989	0.00379
555	0.528	0.999	0.00233
560	0.613	0.997	0.00143
565	0.702	0.99	0.000882
570	0.797	0.973	0.000545
575	0.885	0.942	0.000339
580	0.964	0.896	0.000212
585	1.05	0.859	0.000134
590	1.11	0.812	0.0000849
595	1.14	0.754	0.0000546
600	1.15	0.692	0.0000355
605	1.13	0.627	0.0000233
610	1.08	0.558	0.0000155
615	1.01	0.49	0.0000105
620	0.914	0.423	0
625	0.814	0.361	0
630	0.692	0.298	0
635	0.576	0.242	0
640	0.473	0.194	0
645	0.384	0.155	0
650	0.3	0.119	0
655	0.228	0.0898	0
660	0.171	0.0667	0
665	0.126	0.049	0
670	0.0922	0.0356	0
675	0.0664	0.0255	0
680	0.0471	0.0181	0
685	0.0329	0.0126	0
690	0.0226	0.00866	0
695	0.0158	0.00603	0
700	0.011	0.0042	0
705	0.00761	0.00291	0
710	0.00521	0.002	0
715	0.00357	0.00137	0
720	0.00246	0.000945	0
725	0.0017	0.000654	0
730	0.00119	0.000456	0
735	0.000827	0.000318	0
740	0.000576	0.000222	0
745	0.000406	0.000157	0
750	0.000286	0.00011	0
755	0.000202	0.0000783	0
760	0.000144	0.0000558	0
765	0.000102	0.0000398	0
770	0.0000735	0.0000286	0
775	0.0000526	0.0000205	0
780	0.0000381	0.0000149	0
785	0.0000276	0.0000108	0
790	0.00002	0.00000786	0
795	0.0000146	0.00000574	0
800	0.0000107	0.00000421	0
805	0.00000786	0.00000311	0
810	0.00000577	0.00000229	0
815	0.00000426	0.00000169	0
820	0.00000317	0.00000126	0
825	0.00000236	0.000000942	0
830	0.00000176	0.000000705	0

